nohup: ignoring input
Tue May  5 04:15:37 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::34.274*1.56] collected minimizers
[M::mm_idx_gen::36.339*2.19] sorted minimizers
[M::main::36.339*2.19] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::37.486*2.15] mid_occ = 694
[M::worker_pipeline::5416.981*14.63] mapped 83796 sequences
[M::worker_pipeline::5503.655*14.63] mapped 98231 sequences
[M::worker_pipeline::5531.250*14.63] mapped 87788 sequences
[M::worker_pipeline::5582.363*14.63] mapped 100905 sequences
[M::worker_pipeline::5634.928*14.63] mapped 96300 sequences
[M::worker_pipeline::5690.532*14.64] mapped 80804 sequences
[M::worker_pipeline::5743.097*14.64] mapped 111063 sequences
[M::worker_pipeline::5829.114*14.64] mapped 76552 sequences
[M::worker_pipeline::5854.595*14.64] mapped 76991 sequences
[M::worker_pipeline::5907.577*14.65] mapped 81624 sequences
[M::worker_pipeline::5960.678*14.65] mapped 81393 sequences
[M::worker_pipeline::6013.004*14.65] mapped 83638 sequences
[M::worker_pipeline::6097.476*14.65] mapped 86564 sequences
[M::worker_pipeline::6124.582*14.65] mapped 95005 sequences
[M::worker_pipeline::6175.494*14.66] mapped 101190 sequences
[M::worker_pipeline::6230.803*14.66] mapped 114541 sequences
[M::worker_pipeline::6283.731*14.66] mapped 99902 sequences
[M::worker_pipeline::6341.943*14.66] mapped 113410 sequences
[M::worker_pipeline::6424.300*14.66] mapped 90168 sequences
[M::worker_pipeline::6446.996*14.66] mapped 121679 sequences
[M::worker_pipeline::6502.733*14.66] mapped 108504 sequences
[M::worker_pipeline::6554.528*14.66] mapped 97348 sequences
[M::worker_pipeline::6608.330*14.66] mapped 100881 sequences
[M::worker_pipeline::6696.994*14.67] mapped 82620 sequences
[M::worker_pipeline::6717.924*14.67] mapped 81285 sequences
[M::worker_pipeline::6770.068*14.67] mapped 81083 sequences
[M::worker_pipeline::6827.923*14.67] mapped 78812 sequences
[M::worker_pipeline::6882.799*14.67] mapped 76593 sequences
[M::worker_pipeline::6937.500*14.67] mapped 107858 sequences
[M::worker_pipeline::7018.178*14.67] mapped 106423 sequences
[M::worker_pipeline::7042.533*14.67] mapped 116583 sequences
[M::worker_pipeline::7098.565*14.67] mapped 99221 sequences
[M::worker_pipeline::7156.076*14.67] mapped 98120 sequences
[M::worker_pipeline::7207.470*14.67] mapped 118963 sequences
[M::worker_pipeline::7298.487*14.68] mapped 109128 sequences
[M::worker_pipeline::7318.478*14.68] mapped 81999 sequences
[M::worker_pipeline::7371.353*14.68] mapped 80583 sequences
[M::worker_pipeline::7428.332*14.68] mapped 80299 sequences
[M::worker_pipeline::7484.363*14.68] mapped 80072 sequences
[M::worker_pipeline::7577.367*14.68] mapped 75810 sequences
[M::worker_pipeline::7591.310*14.68] mapped 107145 sequences
[M::worker_pipeline::7666.205*14.68] mapped 100632 sequences
[M::worker_pipeline::7740.549*14.68] mapped 95497 sequences
[M::worker_pipeline::7765.374*14.67] mapped 108192 sequences
[M::worker_pipeline::7811.666*14.67] mapped 131347 sequences
[M::worker_pipeline::7896.886*14.67] mapped 79236 sequences
[M::worker_pipeline::7920.188*14.67] mapped 71522 sequences
[M::worker_pipeline::7974.515*14.67] mapped 85091 sequences
[M::worker_pipeline::8028.613*14.67] mapped 79258 sequences
[M::worker_pipeline::8085.319*14.67] mapped 79276 sequences
[M::worker_pipeline::8206.655*14.63] mapped 77282 sequences
[M::worker_pipeline::8227.038*14.62] mapped 73251 sequences
[M::worker_pipeline::8279.615*14.62] mapped 79371 sequences
[M::worker_pipeline::8371.484*14.62] mapped 78579 sequences
[M::worker_pipeline::8385.161*14.62] mapped 78515 sequences
[M::worker_pipeline::8447.839*14.62] mapped 65105 sequences
[M::worker_pipeline::8500.669*14.62] mapped 82266 sequences
[M::worker_pipeline::8554.820*14.63] mapped 78222 sequences
[M::worker_pipeline::8607.881*14.63] mapped 78752 sequences
[M::worker_pipeline::8706.355*14.63] mapped 77934 sequences
[M::worker_pipeline::8717.600*14.62] mapped 78304 sequences
[M::worker_pipeline::8775.968*14.63] mapped 79033 sequences
[M::worker_pipeline::8829.619*14.63] mapped 77796 sequences
[M::worker_pipeline::8888.390*14.63] mapped 71542 sequences
[M::worker_pipeline::8990.059*14.62] mapped 77852 sequences
[M::worker_pipeline::8998.443*14.60] mapped 74999 sequences
[M::main] Version: 2.30-r1287
[M::main] CMD: minimap2 -ax map-ont -L -z 400,200 -s 40 --min-chain-score 20 -Y -t 15 -R @RG\tID:S11\tSM:sample-11-female\tPL:ONT /data/hg38/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna /data/merged_fastq/sample-11-female.fastq.gz
[M::main] Real time: 8998.754 sec; CPU: 131421.806 sec; Peak RSS: 16.437 GB
time="2026-05-05T18:45:36-05:00" level=error msg="Removing container 67dfafbc7bc75d8438254e7ce9530c4c02d1d0422916569045ed25dd76064481: adding container 67dfafbc7bc75d8438254e7ce9530c4c02d1d0422916569045ed25dd76064481 exit code 0: unable to open database file: no such file or directory"
[bam_sort_core] merging from 30 files and 8 in-memory blocks...
time="2026-05-05T19:11:49-05:00" level=error msg="Removing container d500d827c8e69e1572e0e73e6db90ad26733128031fc4fd60f3b7c5acec8b871: adding container d500d827c8e69e1572e0e73e6db90ad26733128031fc4fd60f3b7c5acec8b871 exit code 0: unable to open database file: no such file or directory"
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"51fb765c331767a661fdf7ab20f552c55d1d7054012c988927aff3eb0e92cf5e\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1278897086: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1298890699: no space left on device
Tue May  5 07:11:49 PM CDT 2026 - DONE: sample-11-female
================================================
Tue May  5 07:11:49 PM CDT 2026 - Starting alignment: sample-17-male
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"9502c0ba8b88c1731698080061b3fd8ac8926d4ad344e6a2945338e6b2e91ad6\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1412974407: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1101203811: no space left on device
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"24a88d04346d0dec7dd70109de5949f23423bc283721a96d5ab78ee2820bd459\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json3375125691: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json3762964016: no space left on device
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"688064cdf8d2e4033f48f4caac0881cb0786b853f8a306ab922c52b3997081f7\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2942857082: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json3460375718: no space left on device
Tue May  5 07:11:49 PM CDT 2026 - DONE: sample-17-male
================================================
Tue May  5 07:11:49 PM CDT 2026 - Starting alignment: sample-23-kid
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"f09e39553e047bb2c2a7184be0b12393795e669f45eb010409db75d88458203e\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2854907706: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json979160902: no space left on device
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"92df9dedb2ca3ffbc41cf21fde93f3de2927be18a11a264aae0d151ed2b68836\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1627711248: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2459291523: no space left on device
time="2026-05-05T19:11:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"919565f4694c52aa6fb9738b3111f2a8ba3ced2f8d158b9ed50ca83b54a6e6df\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2609149083: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json180540399: no space left on device
Tue May  5 07:11:49 PM CDT 2026 - DONE: sample-23-kid
================================================
Tue May  5 07:11:49 PM CDT 2026 - ALL THREE SAMPLES COMPLETE
BAM files saved in: /data1/campwatchme_project/campwatchme-project/minimap-diff-parameters-trial/drop-all-parameters
