nohup: ignoring input
Tue May  5 03:17:52 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::32.019*1.58] collected minimizers
[M::mm_idx_gen::33.974*2.30] sorted minimizers
[M::main::33.974*2.30] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::35.061*2.26] mid_occ = 694
[M::worker_pipeline::3791.925*19.12] mapped 98231 sequences
[M::worker_pipeline::3832.866*19.12] mapped 87788 sequences
[M::worker_pipeline::3874.568*19.12] mapped 100905 sequences
[M::worker_pipeline::3942.625*19.13] mapped 96300 sequences
[M::worker_pipeline::3955.143*19.13] mapped 80804 sequences
[M::worker_pipeline::3995.701*19.14] mapped 111063 sequences
[M::worker_pipeline::4037.424*19.14] mapped 76552 sequences
[M::worker_pipeline::4077.349*19.15] mapped 76991 sequences
[M::worker_pipeline::4118.429*19.15] mapped 81624 sequences
[M::worker_pipeline::4190.391*19.16] mapped 81393 sequences
[M::worker_pipeline::4195.599*19.14] mapped 83638 sequences
[M::worker_pipeline::4257.414*19.07] mapped 86564 sequences
[M::worker_pipeline::4300.417*19.08] mapped 95005 sequences
[M::worker_pipeline::4339.077*19.08] mapped 101190 sequences
[M::worker_pipeline::4380.391*19.08] mapped 114541 sequences
[M::worker_pipeline::4451.672*19.09] mapped 99902 sequences
[M::worker_pipeline::4462.211*19.07] mapped 113410 sequences
[M::worker_pipeline::4507.172*19.07] mapped 90168 sequences
[M::worker_pipeline::4547.050*19.08] mapped 121679 sequences
[M::worker_pipeline::4587.698*19.09] mapped 108504 sequences
[M::worker_pipeline::4626.795*19.09] mapped 97348 sequences
[M::worker_pipeline::4696.150*19.10] mapped 100881 sequences
[M::worker_pipeline::4704.412*19.08] mapped 82620 sequences
[M::worker_pipeline::4749.224*19.08] mapped 81285 sequences
[M::worker_pipeline::4791.835*19.09] mapped 81083 sequences
[M::worker_pipeline::4838.474*19.08] mapped 78812 sequences
[M::worker_pipeline::4878.804*19.09] mapped 76593 sequences
[M::worker_pipeline::4949.302*19.10] mapped 107858 sequences
[M::worker_pipeline::4958.806*19.08] mapped 106423 sequences
[M::worker_pipeline::5003.984*19.08] mapped 116583 sequences
[M::worker_pipeline::5044.135*19.09] mapped 99221 sequences
[M::worker_pipeline::5088.588*19.09] mapped 98120 sequences
[M::worker_pipeline::5160.223*19.10] mapped 118963 sequences
[M::worker_pipeline::5168.639*19.07] mapped 109128 sequences
[M::worker_pipeline::5224.633*19.04] mapped 81999 sequences
